Title,Company,Skills,Region,City
voip  linux systems engineer,sana soft,"linux, computer science, filenet, http, installation, devops, ldap, application server, software engineering",No Region,cairo
technical support specialist,finbi finance  banking consultants international,"information technology it, configuration, software, installation, computer systems, computer hardware, computer maintenance",dokki,giza
it help desk engineer,egic,"maintenance, computer skills, networking, networks, installation, helpdesk, computer hardware, windows server 2008",manial,cairo
senior business analyst,multilevel group,"business functions, uml, business planning, system analysis, technical analysis, project management, software development, analyst",No Region,cairo
senior oracle database administrator,egabi fsi,"engineering, linux, computer science, asm, troubleshooting, database, information technology it, configure",sheraton,cairo
system engineer,sana soft,"vsphere, infrastructure, vmware, computer engineering, linux, computer science, virtualization, cloud management",No Region,alexandria
it solutions purchasing executive,it cores,"english, commerce, raw material, sap, logistics, business administration, logisticssupply chain, local purchasing",heliopolis,cairo
it system administrator,transmar international,"maintenance, computer engineering, computer science, mcsa, mcse, telecom, repair, information technology it, system administration",No Region,cairo
it specialist,confidential,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",No Region,cairo
project manager,domain,"ms project, pmp, projectprogram management, agile methodology, microsoft project, quality assurance",nasr city,cairo
product manager,domain,"sales, engineering, agile, ux, product design, account management, scrum, account support, information technology it",nasr city,cairo
junior business analyst,confidential,"sales, english, statistics, excel, pricing, business development, economics, business administration",No Region,giza
wordpress developer,ecc group,"plugins, coding, development, wordpress plugin, information technology it, php, itsoftware development",nasr city,cairo
uiux web designer,nile creations,"uiux design, creativedesignart, photoshop, ui design, itsoftware development",heliopolis,cairo
junior web developer,saikoro,"html, engineering, computer science, css, software development, itsoftware development, web development",No Region,cairo
ict engineer,tline,"icdl, tefl, teaching, education, computer, educationteaching",maadi,cairo
system engineer,telecom systems provider llc,"vsphere, infrastructure, vmware, computer engineering, linux, computer science, virtualization, cloud management",maadi,cairo
senior business developer,aqarmapcom,"sales target, electrical power engineering, market research, sales skills, marketing, business development",nasr city,cairo
quality software engineer,nacita,"agile, computer science, docker, nodejs, mongodb, typescript based api, software development, information technology it, php",No Region,giza
software project manager,sourcya,"computer engineering, wbs, computer science, rfi, qa, software project management, rfp, information technology it, quality assurance",No Region,alexandria
software testing instructor,amit learning,"computer science, project management, quality, software development, information technology it, software testing, quality assurance",maadi,cairo
